node.exe :  ┬╗   Warning: @salesforce/cli update available from [92m2.85.7[39m to 
[92m2.133.4[39m.
At C:\Program Files\nodejs\sfdx.ps1:16 char:5
+     & "$basedir/node$exe" --no-deprecation "$basedir/node_modules/@sa ...
+     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ( ┬╗   Warning: ...2m2.133.4[39m.:String) [], 
    RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Warning: We plan to stop supporting v4.x of Code Analyzer in the coming months. We highly 
recommend that you start using v5.x, which is currently in Beta. For information on v5.x, 
see https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/code-anal
yzer.html.
"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"11","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueableTest.cls","51","12","MethodNamingConventions","The test method name 'testExecute_HighConfidence' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"12","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueableTest.cls","79","12","MethodNamingConventions","The test method name 'testExecute_Exception' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"13","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisQueueableTest.cls","81","21","AvoidHardcodingId","Hardcoding Ids is bound to break when changing environments.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#avoidhardcodingid","Error Prone","pmd"
"14","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","10","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","12","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"16","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","20","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","31","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"18","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","31","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"19","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","31","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"20","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","31","19","CyclomaticComplexity","The method 'analyse(AnalysisInput)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"21","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","43","36","AvoidNonRestrictiveQueries","Avoid SOQL queries without a where or limit statement","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoidnonrestrictivequeries","Performance","pmd"
"22","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","86","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"23","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","86","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"24","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","86","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"25","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisService.cls","149","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"26","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AIAnalysisServiceTest.cls","8","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"27","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"28","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"29","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"30","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","9","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"31","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","12","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"32","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","12","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"33","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","17","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"34","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","23","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"35","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","25","17","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"36","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","25","17","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"37","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","28","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"38","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AccountRecord.cls","28","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"39","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","12","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"40","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","19","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"41","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","19","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"42","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","19","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"43","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","49","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"44","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","56","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"45","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","66","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"46","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","66","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"47","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AuditTrailService.cls","78","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"48","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AutoHealQueueable.cls","11","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"49","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AutoHealQueueable.cls","15","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"50","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AutoHealQueueable.cls","19","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"51","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AutoHealQueueable.cls","23","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"52","5","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AutoHealQueueable.cls","23","12","QueueableWithoutFinalizer","This Queueable doesnt attach a Finalizer","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#queueablewithoutfinalizer","Best Practices","pmd"
"53","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\AutoHealQueueable.cls","59","15","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"54","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Block2.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"55","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Block2.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"56","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Block2.cls","6","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"57","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Block2.cls","6","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"58","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","15","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"59","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","25","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"60","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","33","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"61","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","50","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"62","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","83","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"63","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","114","40","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"64","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","114","40","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"65","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","115","40","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"66","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","115","40","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"67","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","116","40","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"68","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","116","40","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"69","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","121","37","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"70","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","121","37","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"71","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","122","37","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"72","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","122","37","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"73","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","123","37","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"74","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","123","37","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"75","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculator.cls","127","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"76","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","6","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"77","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","23","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"78","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","24","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"79","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","32","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"80","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","33","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"81","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","41","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"82","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","42","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"83","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","50","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"84","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","51","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"85","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","81","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"86","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\BusinessImpactCalculatorTest.cls","82","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"87","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\ConditionalStmtDemo.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"88","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\ConditionalStmtDemo.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"89","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\ConditionalStmtDemo.cls","5","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"90","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\ConditionalStmtDemo.cls","5","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"91","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","8","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"92","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","8","21","StdCyclomaticComplexity","The class 'FeatureFlag' has a Standard Cyclomatic Complexity of 6 (Highest = 10).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
